,PISAC,PARURO,COLQUEPATA,CCATCCA,CAICAY
X331.5,22.2501773834229,23.7834377288818,21.2218418121338,21.2270355224609,21.4153213500977
X332.5,22.5726051330566,24.3540630340576,21.5769519805908,21.4579200744629,21.8972282409668
X333.5,22.329231262207,24.1374282836914,21.3716621398926,21.0809307098389,21.6673545837402
X334.5,22.1814594268799,24.4466171264648,21.2329292297363,20.9049377441406,21.356388092041
X335.5,21.574197769165,23.7820472717285,20.4389781951904,20.8179264068604,20.9367370605469
X336.5,19.9988975524902,22.4306240081787,18.7004470825195,18.8575954437256,19.1982612609863
X337.5,20.780366897583,22.8472137451172,19.4399681091309,19.8592357635498,19.9783248901367
X338.5,19.5586681365967,22.0577049255371,18.3354969024658,18.8721580505371,19.2630176544189
X339.5,19.8006057739258,22.6368827819824,18.7517833709717,19.3901481628418,19.5280437469482
X340.5,20.4877166748047,22.4682140350342,19.8896675109863,19.4265613555908,19.9981803894043
X341.5,21.0192050933838,22.5043487548828,19.8325080871582,19.6592597961426,19.9231090545654
X342.5,20.8266296386719,22.2763519287109,19.8399295806885,19.4321594238281,19.991828918457
X343.5,22.8695640563965,24.4607028961182,21.6563148498535,21.7853584289551,21.865234375
X344.5,21.9789619445801,23.8866844177246,21.1293449401855,20.8202362060547,21.5197257995605
X345.5,22.5659961700439,24.4401416778564,21.3404502868652,21.2585887908936,21.6777515411377
X346.5,22.1650371551514,24.3928470611572,21.1804389953613,20.9393730163574,21.3631381988525
X347.5,20.1496868133545,22.4852352142334,18.8736343383789,19.3707141876221,19.4333572387695
X348.5,18.8342266082764,21.30983543396,17.9336128234863,17.9205703735352,18.4933815002441
X349.5,18.3632717132568,20.6604747772217,17.3169975280762,17.4389934539795,18.0095062255859
X350.5,18.3928050994873,20.9404125213623,16.9697265625,17.7605609893799,17.930139541626
X351.5,19.2223281860352,22.0230388641357,18.1237239837646,18.7900638580322,18.9019203186035
X352.5,19.8885307312012,21.7922115325928,19.3580474853516,18.9125099182129,19.4662532806396
X353.5,20.03493309021,21.5081062316895,19.326301574707,18.7626762390137,19.3864135742188
X354.5,19.8643703460693,21.2526874542236,18.9780368804932,18.5430908203125,19.1213855743408
X355.5,20.3656787872314,22.0553779602051,19.5461883544922,19.3007144927979,19.7459735870361
X356.5,21.7916622161865,23.6389122009277,20.6121292114258,20.6518535614014,20.9794292449951
X357.5,21.7411117553711,23.5981731414795,20.5147762298584,20.5434589385986,20.8485507965088
X358.5,21.8751888275146,24.1307601928711,20.8390674591064,20.5730266571045,20.9708976745605
X359.5,21.6530742645264,23.8020915985107,20.364143371582,20.7526016235352,20.9100532531738
X360.5,19.2144451141357,21.5562210083008,18.2339916229248,18.2596263885498,18.7086296081543
X361.5,20.200927734375,22.2626113891602,19.0785045623779,19.1813411712646,19.5680694580078
X362.5,20.6117610931396,22.9692134857178,19.5029964447021,19.989673614502,20.3961124420166
X363.5,20.8868370056152,23.5258769989014,19.8253402709961,20.4423828125,20.5745048522949
X364.5,20.7755184173584,22.6985168457031,20.4449558258057,19.6866626739502,20.5806350708008
X365.5,19.1362972259521,20.7821388244629,18.3359241485596,17.7332038879395,18.3837051391602
X366.5,19.8424091339111,21.3363552093506,18.9385147094727,18.3951988220215,19.0658321380615
X367.5,21.0440368652344,22.7653751373291,20.2738513946533,19.9013080596924,20.4329719543457
X368.5,21.5773487091064,23.5022392272949,20.6050853729248,20.4114284515381,20.9247913360596
X369.5,21.555362701416,23.5155258178711,20.4780197143555,20.2481365203857,20.7739200592041
X370.5,21.4916687011719,23.7879867553711,20.5532531738281,20.192232131958,20.6685276031494
X371.5,20.3901844024658,22.7728099822998,19.1023063659668,19.5781803131104,19.6463985443115
