,PISAC,PARURO,COLQUEPATA,CCATCCA,CAICAY
X252.5,183.138336181641,239.456329345703,179.817642211914,173.46745300293,197.790252685547
X253.5,82.9875106811523,156.296005249023,103.097091674805,109.501625061035,127.635696411133
X254.5,138.986221313477,155.411865234375,150.914184570312,148.682525634766,148.151916503906
X255.5,68.5551147460938,57.5566215515137,64.3624954223633,57.9710807800293,49.112979888916
X256.5,3.78560948371887,3.16172027587891,11.4590187072754,7.21716928482056,6.65838241577148
X257.5,3.52440452575684,1.80056941509247,2.92960739135742,0.604981064796448,1.78634440898895
X258.5,0.0415058173239231,0,0.195803642272949,0.329705417156219,0.00755373202264309
X259.5,15.2372379302979,8.16165637969971,22.019193649292,11.3944444656372,10.3807506561279
X260.5,27.8437023162842,31.9026374816895,44.3188819885254,6.84790182113647,10.0624961853027
X261.5,72.8685150146484,74.4299850463867,54.6245384216309,64.1637649536133,65.0947418212891
X262.5,130.426803588867,135.914916992188,160.742141723633,100.23722076416,106.856246948242
X263.5,112.716468811035,168.901168823242,128.776504516602,99.5532684326172,113.893882751465
X264.5,136.920761108398,221.238296508789,135.576766967773,154.539169311523,172.158676147461
X265.5,97.7282104492188,131.545440673828,91.0315322875977,69.8075942993164,82.2281265258789
X266.5,141.343597412109,142.357574462891,136.461334228516,130.752090454102,126.780967712402
X267.5,48.9296913146973,46.5995063781738,53.4034385681152,27.7017040252686,32.7691192626953
X268.5,1.08697783946991,1.05759024620056,3.20720624923706,0.515129864215851,0.919476568698883
X269.5,6.75724649429321,2.01126432418823,5.53537273406982,1.34847724437714,3.535320520401
X270.5,2.88968968391418,0.449072688817978,4.79197263717651,2.72081303596497,2.92357730865479
X271.5,9.21564865112305,5.37802314758301,16.0554161071777,4.93672609329224,5.60894584655762
X272.5,19.8491554260254,21.9500904083252,33.0919075012207,20.696231842041,15.5488691329956
X273.5,49.728572845459,54.0139503479004,42.623851776123,54.8240776062012,50.712230682373
X274.5,131.018768310547,134.923324584961,153.874069213867,74.6348190307617,88.1833190917969
X275.5,74.1304473876953,98.2452697753906,83.3102035522461,65.1696929931641,72.0582885742188
X276.5,95.1357879638672,106.823425292969,74.7639923095703,70.7139892578125,82.0311660766602
X277.5,68.57958984375,89.7660598754883,65.8546829223633,53.826961517334,61.8016395568848
X278.5,49.7652969360352,62.5806694030762,47.8998107910156,40.3210906982422,44.3009757995605
X279.5,27.9042091369629,31.3243560791016,32.9229278564453,9.22922039031982,16.6817169189453
X280.5,7.28619050979614,4.8380331993103,13.2102432250977,7.30703115463257,6.98914241790771
X281.5,4.82557582855225,1.4955061674118,3.42253446578979,0.32565826177597,1.82817769050598
X282.5,0.466766506433487,0,1.15733420848846,1.08004140853882,0.667295753955841
X283.5,4.29852390289307,2.88533282279968,13.2290115356445,6.34091329574585,6.09654569625854
X284.5,4.50120067596436,4.89027643203735,7.22112512588501,3.1816668510437,3.20863580703735
X285.5,25.8178653717041,20.174861907959,19.9759178161621,19.1602516174316,21.1412086486816
X286.5,47.0750885009766,37.6259269714355,51.3036918640137,27.5792675018311,32.5278091430664
X287.5,81.4603500366211,114.575050354004,90.9173583984375,66.80908203125,71.7696914672852
X288.5,158.060272216797,203.501174926758,138.077362060547,167.847885131836,168.206130981445
X289.5,133.186386108398,191.463119506836,129.110610961914,134.534378051758,149.725204467773
X290.5,74.2136383056641,51.5736083984375,70.2580795288086,75.2632675170898,69.8861694335938
X291.5,76.0114898681641,48.0554313659668,78.4827346801758,58.8904571533203,64.468017578125
X292.5,0.638348639011383,0.202191293239594,1.69023489952087,0.628654778003693,0.472957819700241
X293.5,3.63373613357544,0.992321074008942,4.02151584625244,2.56994318962097,3.24004626274109
X294.5,2.25636053085327,0.592952311038971,3.91272234916687,3.7894344329834,2.9484875202179
X295.5,19.9920082092285,5.80728101730347,35.7314376831055,19.0260276794434,17.7017154693604
X296.5,4.50332450866699,3.35075902938843,7.73952102661133,5.45279550552368,3.592693567276
X297.5,105.510673522949,78.0007400512695,79.6998519897461,91.2945938110352,97.8460845947266
